ENSSSCG00000001089	GPLD1	204
ENSSSCG00000001090	ALDH5A1	105
ENSSSCG00000001091	KIAA0319	1
ENSSSCG00000001092	TDP2	1612
ENSSSCG00000001095	GMNN	247
ENSSSCG00000001096	ARMH2	1
ENSSSCG00000001097		15
ENSSSCG00000001098		9
ENSSSCG00000001099	CMAH	12
ENSSSCG00000001100	CARMIL1	388
ENSSSCG00000001101	SCGN	0
ENSSSCG00000001105		0
ENSSSCG00000001107	SLC17A1	0
ENSSSCG00000001131	BTN2A2	56
ENSSSCG00000001132	BTN1A1	3
ENSSSCG00000001137	HIST1H1D	3133
ENSSSCG00000001156	ZNF322	1874
ENSSSCG00000001164	ZNF184	375
ENSSSCG00000001197	ZNF165	57
ENSSSCG00000001201	ZKSCAN8	613
ENSSSCG00000001202		216
ENSSSCG00000001203	ZSCAN9	1
ENSSSCG00000001204	ZKSCAN4	64
ENSSSCG00000001205	NKAPL	7
ENSSSCG00000001206	ZSCAN26	510
ENSSSCG00000001207	PGBD1	422
ENSSSCG00000001209	ZSCAN12	412
ENSSSCG00000001211		0
ENSSSCG00000001213	GPX6	2
ENSSSCG00000001214	GPX5	0
ENSSSCG00000001216	ZBED9	3
ENSSSCG00000001219	TRIM27	2076
ENSSSCG00000001229		14055
ENSSSCG00000001232		0
ENSSSCG00000001233	TRIM26	378
ENSSSCG00000001234	TRIM10	0
ENSSSCG00000001235	TRIM15	1
ENSSSCG00000001236	TRIM40	0
ENSSSCG00000001242	GABBR1	194
ENSSSCG00000001245	ZNRD1	410
ENSSSCG00000001247	ZFP57	15
ENSSSCG00000001248	MOG	14
ENSSSCG00000001252	UBD	0
ENSSSCG00000001253	OR2I1P	0
ENSSSCG00000001254		0
ENSSSCG00000001256		0
ENSSSCG00000001297		0
ENSSSCG00000001304		0
ENSSSCG00000001341		1875
ENSSSCG00000001342	TRIM39	202
ENSSSCG00000001346	ABCF1	1273
ENSSSCG00000001347	PPP1R10	1013
ENSSSCG00000001362	MDC1	44
ENSSSCG00000001372	GNL1	1216
ENSSSCG00000001376	DHX16	725
ENSSSCG00000001379	TUBB	16950
ENSSSCG00000001382	DDR1	372
ENSSSCG00000001384	VARS2	559
ENSSSCG00000001388	C6orf15	0
ENSSSCG00000001391	CCHCR1	71
ENSSSCG00000001392	TCF19	32
ENSSSCG00000001393		0
ENSSSCG00000001394		252
ENSSSCG00000001395		97
ENSSSCG00000001396		730
ENSSSCG00000001398		2669
ENSSSCG00000001400	DDX39B	3691
ENSSSCG00000001401	ATP6V1G2-DDX39B	33
ENSSSCG00000001402	NFKBIL1	151
ENSSSCG00000001403	LTA	0
ENSSSCG00000001404	TNF	12
ENSSSCG00000001407		0
ENSSSCG00000001409	PRRC2A	326
ENSSSCG00000001410	BAG6	2450
ENSSSCG00000001411	APOM	24
ENSSSCG00000001413	GPANK1	720
ENSSSCG00000001414		1512
ENSSSCG00000001416	LY6G5C	3
ENSSSCG00000001418	NEU1	904
ENSSSCG00000001419	SLC44A4	3
ENSSSCG00000001420	EHMT2	89
ENSSSCG00000001421	ZBTB12	0
ENSSSCG00000001422	C2	510
ENSSSCG00000001423	NELFE	1806
ENSSSCG00000001424	SKIV2L	2262
ENSSSCG00000001425	DXO	2264
ENSSSCG00000001426	STK19	602
ENSSSCG00000001427	C4A	235
ENSSSCG00000001428	CYP21A2	25
ENSSSCG00000001430	ATF6B	1903
ENSSSCG00000001431	FKBPL	82
ENSSSCG00000001433	PPT2	798
ENSSSCG00000001434	EGFL8	100
ENSSSCG00000001435	AGPAT1	181
ENSSSCG00000001436	RNF5	902
ENSSSCG00000001437	AGER	55
ENSSSCG00000001438	PBX2	54
ENSSSCG00000001439	GPSM3	0
ENSSSCG00000001440	NOTCH4	19
ENSSSCG00000001441		0
ENSSSCG00000001444		0
ENSSSCG00000001447		0
ENSSSCG00000001453	HLA-DRA	0
ENSSSCG00000001455		0
ENSSSCG00000001456		3
ENSSSCG00000001457	SLA-DQB1	0
ENSSSCG00000001458		0
ENSSSCG00000001459	HLA-DOB	15
ENSSSCG00000001463	PSMB9	417
ENSSSCG00000001469	SLA-DMB	16
ENSSSCG00000001470	SLA-DMA	0
ENSSSCG00000001471	BRD2	5108
ENSSSCG00000001472	SLA-DOA	0
ENSSSCG00000001473	COL11A2	0
ENSSSCG00000001474	RXRB	77
